SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,적색/녹색화살표등화+황색등화+적색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
108,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
109,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색/녹색화살표등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,녹색등화,27,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,적색등화,41,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,녹색등화,25,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
115,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
