SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
251,3,녹색/녹색화살표,17,,,,,,,,,,,,,,,,,,,,,,,,,
251,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
251,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
252,3,녹색/녹색화살표,17,,,,,,,,,,,,,,,,,,,,,,,,,
252,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
252,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
253,3,녹색/녹색화살표,17,,,,,,,,,,,,,,,,,,,,,,,,,
253,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
253,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
254,3,녹색/녹색화살표,17,,,,,,,,,,,,,,,,,,,,,,,,,
254,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
254,3,적색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,녹색등화,26,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,적색/녹색화살표등화,10,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,적색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
255,5,적색등화,39,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,녹색등화,26,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,적색/녹색화살표등화,10,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,적색/황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,적색등화,39,,,,,,,,,,,,,,,,,,,,,,,,,
257,2,녹색등화,12,,,,,,,,,,,,,,,,,,,,,,,,,
257,2,적색등화,65,,,,,,,,,,,,,,,,,,,,,,,,,
258,2,녹색등화,43,,,,,,,,,,,,,,,,,,,,,,,,,
258,2,적색등화,17,,,,,,,,,,,,,,,,,,,,,,,,,
259,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
260,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
261,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
262,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
263,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
264,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
266,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
267,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
268,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
269,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
270,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
271,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
272,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
273,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
274,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
275,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
276,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
277,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
278,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
279,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
281,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
282,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
284,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
285,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
286,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
287,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
288,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
289,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
290,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
291,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
292,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
293,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
294,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
295,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
296,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
297,3,녹색등화,55,,,,,,,,,,,,,,,,,,,,,,,,,
297,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
297,3,적색등화,33,,,,,,,,,,,,,,,,,,,,,,,,,
298,3,녹색등화,55,,,,,,,,,,,,,,,,,,,,,,,,,
298,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
298,3,적색등화,33,,,,,,,,,,,,,,,,,,,,,,,,,
299,3,녹색등화,55,,,,,,,,,,,,,,,,,,,,,,,,,
299,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
299,3,적색등화,33,,,,,,,,,,,,,,,,,,,,,,,,,
300,3,녹색등화,55,,,,,,,,,,,,,,,,,,,,,,,,,
300,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
300,3,적색등화,33,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,녹색등화,55,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
301,3,적색등화,33,,,,,,,,,,,,,,,,,,,,,,,,,
302,2,녹색등화,60,,,,,,,,,,,,,,,,,,,,,,,,,
302,2,적색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,녹색등화,32,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
303,3,적색등화,43,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,녹색등화,54,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,황색등화,4,,,,,,,,,,,,,,,,,,,,,,,,,
304,3,적색등화,35,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,녹색등화,54,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,황색등화,4,,,,,,,,,,,,,,,,,,,,,,,,,
305,3,적색등화,35,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,녹색등화,54,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,황색등화,4,,,,,,,,,,,,,,,,,,,,,,,,,
306,3,적색등화,35,,,,,,,,,,,,,,,,,,,,,,,,,
307,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
308,3,녹색등화,32,,,,,,,,,,,,,,,,,,,,,,,,,
308,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
308,3,적색등화,43,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,녹색등화,32,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
309,3,적색등화,43,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,녹색등화,32,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
310,3,적색등화,43,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
312,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
313,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
314,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
315,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
316,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
317,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
318,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
319,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
320,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
321,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
322,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
323,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
324,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
325,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
326,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
330,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
332,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
334,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
335,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
336,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
338,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
340,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
342,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
343,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
344,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
344,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
344,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
345,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
345,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
345,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
346,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
346,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
346,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
347,2,녹색등화,23,,,,,,,,,,,,,,,,,,,,,,,,,
347,2,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
348,3,녹색등화,45,,,,,,,,,,,,,,,,,,,,,,,,,
348,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
348,3,적색등화,57,,,,,,,,,,,,,,,,,,,,,,,,,
349,3,녹색등화,45,,,,,,,,,,,,,,,,,,,,,,,,,
349,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
349,3,적색등화,57,,,,,,,,,,,,,,,,,,,,,,,,,
350,3,녹색등화,45,,,,,,,,,,,,,,,,,,,,,,,,,
350,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
350,3,적색등화,57,,,,,,,,,,,,,,,,,,,,,,,,,
351,2,녹색등화,23,,,,,,,,,,,,,,,,,,,,,,,,,
351,2,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
352,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
352,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
352,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
353,2,녹색등화,23,,,,,,,,,,,,,,,,,,,,,,,,,
353,2,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
354,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
354,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
354,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
355,3,녹색등화,30,,,,,,,,,,,,,,,,,,,,,,,,,
355,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
355,3,적색등화,77,,,,,,,,,,,,,,,,,,,,,,,,,
356,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
357,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
358,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
359,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
360,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
361,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
362,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
363,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
364,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
365,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
366,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
367,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
368,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
369,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
370,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
371,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
372,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
373,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
374,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
375,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
376,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
377,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
378,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
379,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
380,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
381,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
382,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
383,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
384,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
385,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
386,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
387,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
388,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
389,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
390,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
391,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
392,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
393,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
394,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
395,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
396,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
397,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
398,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
399,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
400,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
401,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
