SignalControlNumber,Color,Sequence,ColorTime,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,녹색등화/녹색화살표,29,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,황색등화,2,,,,,,,,,,,,,,,,,,,,,,,,,
43,3,적색등화,112,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,녹색등화/녹색화살표,29,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,황색등화,2,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,적색등화,112,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,황색등화,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,녹색등화,17,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,적색등화,108,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,적색등화,106,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
56,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
56,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
56,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,적색등화,103,,,,,,,,,,,,,,,,,,,,,,,,,
58,3,녹색등화/녹색화살표,18,,,,,,,,,,,,,,,,,,,,,,,,,
58,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
58,3,적색등화,103,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,녹색등화,17,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,적색등화,89,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,녹색등화,21,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,적색등화,108,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,적색등화,88,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,녹색등화/녹색화살표,43,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,황색등화,3,,,,,,,,,,,,,,,,,,,,,,,,,
