City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 781-18,48,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 792-13,50,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 792-13,51,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 788-11,52,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,3,전라남도 곡성군 곡성읍 읍내리 796-2,53,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 797-19,54,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 797-19,55,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 797-19,56,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 797-19,57,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 797-19,58,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,3,전라남도 곡성군 곡성읍 읍내리 246-2,59,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,3,전라남도 곡성군 곡성읍 읍내리 246-2,60,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 246-7,61,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 797-19,62,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 246-6,63,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 246-6,64,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,2,전라남도 곡성군 곡성읍 읍내리 246-6,65,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 246-6,66,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 읍내리 246-6,67,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,60번,곡성로,1,전라남도 곡성군 곡성읍 대평리 1222-8,68,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 석곡면 연반리 1383-14,69,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 석곡면 연반리 1383-14,70,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 금반리 672-21,71,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 금반리 672-17,72,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,3,전라남도 곡성군 삼기면 금반리 565-15,73,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 금반리 611-6,74,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 금반리 611-6,75,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 금반리 611-6,76,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,3,전라남도 곡성군 삼기면 금반리 611-2,77,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 465-2,78,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 1164,79,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 1164,80,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 465-1,81,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,1,전라남도 곡성군 삼기면 원등리 874-2,82,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,27번,곡순로,2,전라남도 곡성군 삼기면 원등리 874-2,83,,,,,,,,,,,,,,,,,,,,,,
